"cities","year","themes","indicator","statistics"
"Winterthour",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",25.9
"Zurich",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",21.2
"Berne",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",26.2
"Biel/Bienne",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",30
"Lucerne",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",30.2
"Bâle",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",29.7
"St-Gall",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",27.8
"Lugano",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",37.7
"Lausanne",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",21.7
"Genève",2022,"demography","Old-age dependency ratio: population aged 65+ / population aged 20–64 (×100)",24
"Winterthour",2022,"housing","Total dwellings (housing units)",57893
"Zurich",2022,"housing","Total dwellings (housing units)",232937
"Berne",2022,"housing","Total dwellings (housing units)",81384
"Biel/Bienne",2022,"housing","Total dwellings (housing units)",31991
"Lucerne",2022,"housing","Total dwellings (housing units)",47565
"Bâle",2022,"housing","Total dwellings (housing units)",103643
"St-Gall",2022,"housing","Total dwellings (housing units)",45074
"Lugano",2022,"housing","Total dwellings (housing units)",41437
"Lausanne",2022,"housing","Total dwellings (housing units)",80756
"Genève",2022,"housing","Total dwellings (housing units)",112225
"Winterthour",2023,"health","Mortality rate of people under 65",1
"Zurich",2023,"health","Mortality rate of people under 65",1.1
"Berne",2023,"health","Mortality rate of people under 65",1.2
"Biel/Bienne",2023,"health","Mortality rate of people under 65",1.7
"Lucerne",2023,"health","Mortality rate of people under 65",1.3
"Bâle",2023,"health","Mortality rate of people under 65",1.4
"St-Gall",2023,"health","Mortality rate of people under 65",1.3
"Lugano",2023,"health","Mortality rate of people under 65",1.3
"Lausanne",2023,"health","Mortality rate of people under 65",1.1
"Genève",2023,"health","Mortality rate of people under 65",1.1
"Winterthour",2022,"labour market","Employed population aged 20–64",59589
"Zurich",2022,"labour market","Employed population aged 20–64",235517
"Berne",2022,"labour market","Employed population aged 20–64",73099
"Biel/Bienne",2022,"labour market","Employed population aged 20–64",24590
"Lucerne",2022,"labour market","Employed population aged 20–64",43320
"Bâle",2022,"labour market","Employed population aged 20–64",83772
"St-Gall",2022,"labour market","Employed population aged 20–64",38839
"Lugano",2022,"labour market","Employed population aged 20–64",26397
"Lausanne",2022,"labour market","Employed population aged 20–64",67904
"Genève",2022,"labour market","Employed population aged 20–64",82340
"Winterthour",2023,"mobility","Number of road traffic fatalities",1
"Zurich",2023,"mobility","Number of road traffic fatalities",4
"Berne",2023,"mobility","Number of road traffic fatalities",1
"Biel/Bienne",2023,"mobility","Number of road traffic fatalities",2
"Lucerne",2023,"mobility","Number of road traffic fatalities",1
"Bâle",2023,"mobility","Number of road traffic fatalities",3
"St-Gall",2023,"mobility","Number of road traffic fatalities",4
"Lugano",2023,"mobility","Number of road traffic fatalities",0
"Lausanne",2023,"mobility","Number of road traffic fatalities",2
"Genève",2023,"mobility","Number of road traffic fatalities",4
"Winterthour",2022,"education","Population aged 25–64 with tertiary education",50.5
"Zurich",2022,"education","Population aged 25–64 with tertiary education",67.8
"Berne",2022,"education","Population aged 25–64 with tertiary education",63.4
"Biel/Bienne",2022,"education","Population aged 25–64 with tertiary education",38.4
"Lucerne",2022,"education","Population aged 25–64 with tertiary education",55.5
"Bâle",2022,"education","Population aged 25–64 with tertiary education",58.4
"St-Gall",2022,"education","Population aged 25–64 with tertiary education",47.4
"Lugano",2022,"education","Population aged 25–64 with tertiary education",47.4
"Lausanne",2022,"education","Population aged 25–64 with tertiary education",52.9
"Genève",2022,"education","Population aged 25–64 with tertiary education",55.3
